@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2}

@data
976,'2018/08/22 10:57:03:519',6,-6513508,-6645094,-6513508,-6645094,-6513508,-6513508,-6908266,-6645094,-6645094,-6645094,-6579301,-6710887,-6645094,-7039852,-7171438,-6974059,-7039852,-6710887,-6776680,-6776680,-6645094,-6710887,-7039852,-7960954,-8224126,-8092540,-7960954,-7171438,-6908266,-6908266,-6710887,-6776680,-8158333,-9605779,-9474193,-9671572,-9737365,-7829368,-6974059,-6974059,-6645094,-6908266,-9408400,-11382190,-10724260,-11316397,-11447983,-8421505,-6974059,-6908266,-6579301,-7039852,-9803158,-11908534,-11316397,-11776948,-11645362,-8421505,-6908266,-6908266,-6645094,-7039852,-8750470,-10461088,-10658467,-10724260,-10197916,-7960954,-6908266,-6908266,-6710887,-6908266,-7368817,-8684677,-9605779,-9276814,-8487298,-7434610,-6974059,-6974059,-6908266,-6842473,-6974059,-7303024,-7631989,-7566196,-7237231,-7039852,-6710887,-6776680,-6842473,-6776680,-6776680,-7039852,-7171438,-7039852,-6842473,-6710887,-6974059,-7039852,2
977,'2018/08/22 10:57:03:677',6,-6776680,-6645094,-6710887,-6776680,-6579301,-6710887,-6974059,-6974059,-6842473,-6842473,-6776680,-6645094,-6842473,-6908266,-6710887,-6776680,-6908266,-6842473,-6776680,-6776680,-6776680,-6710887,-6842473,-6842473,-6645094,-6645094,-6842473,-6776680,-6842473,-6842473,-6908266,-6776680,-6842473,-6710887,-6316129,-6447715,-6842473,-6974059,-6842473,-6908266,-6842473,-6842473,-7039852,-6908266,-6447715,-6447715,-6908266,-7105645,-6842473,-6842473,-6776680,-6908266,-7237231,-7237231,-6908266,-6842473,-7039852,-7039852,-6908266,-6974059,-6974059,-6908266,-7171438,-7368817,-7303024,-7303024,-7237231,-7039852,-7105645,-7039852,-7171438,-6842473,-6908266,-7171438,-7303024,-7500403,-7434610,-7039852,-7039852,-7039852,-7039852,-7039852,-7039852,-7105645,-7171438,-7171438,-7105645,-7039852,-7105645,-7105645,-7039852,-7039852,-7039852,-7105645,-7171438,-7171438,-7105645,-7039852,-7039852,-7039852,2
978,'2018/08/22 10:57:03:695',6,-3552823,-3355444,-3684409,-3355444,-3026479,-3289651,-3421237,-3355444,-3092272,-3026479,-3552823,-3815995,-3487030,-3223858,-3618616,-3815995,-3618616,-3355444,-3355444,-3355444,-3289651,-3750202,-3026479,-3552823,-4605511,-4473925,-4342339,-4342339,-3618616,-3552823,-3881788,-4013374,-3487030,-4934476,-5723992,-5131855,-5460820,-5395027,-3815995,-3684409,-3947581,-3881788,-4210753,-6184543,-6908266,-6974059,-7566196,-6250336,-3947581,-3815995,-3684409,-3750202,-4605511,-6184543,-7039852,-8092540,-8224126,-5658199,-3881788,-3815995,-4276546,-4210753,-4802890,-5395027,-5855578,-6579301,-6052957,-4013374,-3750202,-3750202,-4144960,-3881788,-4276546,-4671304,-4934476,-5000269,-4408132,-4079167,-3881788,-3881788,-4210753,-4210753,-4276546,-4210753,-4210753,-4144960,-4079167,-4079167,-4013374,-4013374,-4276546,-4276546,-4276546,-4276546,-4210753,-4144960,-4079167,-4079167,-4079167,-4079167,2
979,'2018/08/22 10:57:03:708',6,-3092272,-3552823,-2960686,-3421237,-3092272,-2894893,-2763307,-3223858,-3092272,-3026479,-3158065,-3289651,-3223858,-2960686,-2697514,-3421237,-3355444,-2697514,-2960686,-2960686,-4013374,-3223858,-3158065,-3421237,-3947581,-3684409,-3552823,-3815995,-3026479,-3026479,-3158065,-3750202,-3223858,-3223858,-4934476,-4868683,-5000269,-4737097,-3355444,-3223858,-3815995,-3552823,-3223858,-5263441,-7105645,-6447715,-7171438,-6118750,-3487030,-3355444,-3355444,-3421237,-3815995,-5263441,-5987164,-7368817,-8092540,-3947581,-3421237,-3421237,-4210753,-3355444,-3881788,-5329234,-5460820,-6184543,-5789785,-3487030,-3421237,-3421237,-3815995,-3618616,-3881788,-4144960,-4539718,-4868683,-3289651,-3684409,-3552823,-3487030,-3750202,-3815995,-3815995,-3750202,-3618616,-3552823,-3552823,-3552823,-3815995,-3684409,-3881788,-3947581,-3947581,-3881788,-3750202,-3684409,-3684409,-3684409,-3815995,-3684409,2
980,'2018/08/22 10:57:03:724',6,-2829100,-3223858,-2829100,-2763307,-2894893,-2763307,-2894893,-2829100,-2697514,-2697514,-3289651,-2697514,-2763307,-3092272,-2960686,-2829100,-2829100,-2829100,-2697514,-2763307,-2763307,-3158065,-3223858,-2763307,-3026479,-3618616,-3421237,-2960686,-2763307,-2829100,-2829100,-3289651,-2763307,-3750202,-4868683,-4210753,-3947581,-4473925,-2829100,-2894893,-2960686,-3421237,-3026479,-5000269,-6316129,-6052957,-6250336,-4802890,-3026479,-3026479,-3092272,-3487030,-3947581,-5526613,-6184543,-7697782,-8092540,-3618616,-3289651,-3223858,-3750202,-2960686,-3750202,-5263441,-5658199,-6250336,-5855578,-3421237,-3289651,-3289651,-3355444,-3421237,-3947581,-3684409,-4342339,-4605511,-3092272,-3092272,-3223858,-3223858,-3552823,-3552823,-3552823,-3552823,-3487030,-3289651,-3223858,-3289651,-3421237,-3421237,-3618616,-3552823,-3552823,-3552823,-3487030,-3289651,-3289651,-3355444,-3421237,-3421237,2
981,'2018/08/22 10:57:03:741',6,-2763307,-2434342,-2697514,-2763307,-2565928,-2565928,-2565928,-2829100,-2500135,-2565928,-2763307,-2697514,-2368549,-2500135,-2960686,-2894893,-2697514,-2631721,-2763307,-2763307,-1973791,-3026479,-2565928,-2565928,-3552823,-4276546,-4342339,-3223858,-2697514,-2697514,-3026479,-2697514,-2763307,-4802890,-5329234,-4539718,-4934476,-4342339,-2631721,-2631721,-3092272,-2565928,-3421237,-5921371,-6316129,-6118750,-6447715,-4539718,-2829100,-2829100,-2236963,-3026479,-4210753,-5263441,-5987164,-7895161,-7829368,-3750202,-2763307,-2763307,-3092272,-2960686,-3815995,-5000269,-5658199,-6250336,-5395027,-3092272,-2697514,-2697514,-2631721,-2631721,-3355444,-4144960,-4737097,-4539718,-3355444,-2697514,-2894893,-2894893,-2960686,-2894893,-2960686,-3092272,-3092272,-3026479,-2960686,-2960686,-2829100,-3158065,-3026479,-2894893,-2894893,-3026479,-3026479,-2894893,-2829100,-2829100,-2960686,-3421237,2
982,'2018/08/22 10:57:03:757',6,-2368549,-2631721,-2631721,-2565928,-2763307,-2434342,-2434342,-2631721,-2631721,-2631721,-2894893,-2434342,-2302756,-2565928,-2500135,-2434342,-2697514,-2302756,-2894893,-2829100,-2302756,-2894893,-2434342,-2960686,-2697514,-3618616,-3552823,-3092272,-3092272,-2894893,-2565928,-2565928,-2631721,-3092272,-5263441,-4605511,-4737097,-3815995,-3026479,-2763307,-2763307,-2500135,-2960686,-5526613,-5723992,-5197648,-5526613,-5329234,-3026479,-2763307,-2565928,-2500135,-3750202,-6645094,-5197648,-6579301,-7829368,-5723992,-3026479,-2829100,-2960686,-2368549,-3881788,-4473925,-6184543,-7039852,-8553091,-3618616,-2960686,-2829100,-2500135,-3552823,-2960686,-4737097,-5066062,-5723992,-5000269,-2500135,-2763307,-2697514,-2697514,-2763307,-2894893,-3223858,-3421237,-3026479,-2697514,-2829100,-2763307,-2763307,-2829100,-2763307,-2631721,-2829100,-3026479,-2763307,-2631721,-2960686,-2763307,-2763307,2
983,'2018/08/22 10:57:03:773',6,-2829100,-2763307,-1907998,-2434342,-2763307,-2500135,-2697514,-2829100,-2829100,-2894893,-2434342,-2434342,-3487030,-2763307,-2368549,-2434342,-3223858,-2368549,-2829100,-2894893,-2960686,-2236963,-2302756,-2697514,-4473925,-3947581,-4144960,-3289651,-2894893,-2894893,-2368549,-3092272,-2302756,-6052957,-5460820,-5592406,-4408132,-3750202,-2894893,-2960686,-2434342,-2500135,-4539718,-6579301,-5526613,-6842473,-6447715,-3289651,-2894893,-2960686,-3092272,-1776412,-5131855,-4868683,-6513508,-7895161,-6316129,-2763307,-2829100,-2894893,-2434342,-2960686,-4079167,-5263441,-5723992,-6184543,-2829100,-2434342,-2697514,-2697514,-2631721,-2894893,-2829100,-3158065,-4079167,-2500135,-2829100,-2697514,-2565928,-2631721,-2763307,-2697514,-2763307,-2697514,-2565928,-2697514,-2829100,-2631721,-2763307,-2697514,-2763307,-2697514,-2763307,-2697514,-2565928,-2697514,-2829100,-2631721,-2763307,-2697514,2
984,'2018/08/22 10:57:03:789',6,-2960686,-2434342,-2500135,-2500135,-2697514,-3158065,-2960686,-2829100,-3158065,-3158065,-2500135,-2697514,-2829100,-3158065,-3158065,-2697514,-2631721,-3158065,-3026479,-3026479,-2565928,-2763307,-2171170,-2763307,-3684409,-3618616,-3552823,-3026479,-3026479,-3026479,-2500135,-2631721,-2763307,-4408132,-5329234,-5131855,-5066062,-3421237,-3026479,-3026479,-2565928,-2565928,-3750202,-6052957,-5987164,-5658199,-6381922,-4868683,-3158065,-3158065,-2697514,-2763307,-4013374,-5789785,-6381922,-7500403,-7500403,-4473925,-3092272,-3092272,-2500135,-2829100,-3947581,-5329234,-6710887,-7895161,-6316129,-2763307,-2960686,-2960686,-2697514,-2500135,-3158065,-4013374,-4473925,-4079167,-3158065,-2960686,-2763307,-2763307,-2500135,-2565928,-2697514,-2829100,-2763307,-2631721,-2631721,-2763307,-2829100,-2829100,-2565928,-2565928,-2697514,-2763307,-2697514,-2631721,-2697514,-2829100,-2960686,-2960686,2
985,'2018/08/22 10:57:03:805',6,-2697514,-2697514,-2894893,-3223858,-3026479,-2960686,-3289651,-3158065,-3092272,-3158065,-2960686,-2565928,-2763307,-2960686,-2829100,-3289651,-3092272,-3223858,-3092272,-3158065,-2565928,-3026479,-2236963,-3289651,-4210753,-4342339,-3684409,-3881788,-3158065,-3223858,-2302756,-3158065,-2500135,-5131855,-5658199,-5131855,-5329234,-4342339,-3552823,-3355444,-2763307,-2763307,-4079167,-6710887,-5723992,-5526613,-6513508,-5131855,-3947581,-3421237,-2697514,-3289651,-5460820,-6250336,-6118750,-6513508,-6776680,-6776680,-3947581,-3421237,-2368549,-3750202,-5131855,-5460820,-6842473,-7631989,-8158333,-6710887,-3552823,-3158065,-2697514,-3026479,-4210753,-6052957,-6776680,-7960954,-10658467,-4539718,-3158065,-2960686,-2565928,-2434342,-3750202,-4802890,-5658199,-5921371,-5131855,-2631721,-2894893,-3618616,-2763307,-2368549,-3158065,-3552823,-3881788,-3684409,-3487030,-2302756,-3552823,-4408132,2
